epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,181.176,0.88779,1.57177,1.18781,0.68672,0.58613,0.65415,0.48547,0.86531,1.36665,1.15779,0.00995816,0.00331939,0.00995816,0.00331939,0.00995816,0.00331939,0.00995816,0.00331939
2,351.335,0.92552,1.10652,1.20107,0.74576,0.62092,0.69315,0.48669,1.00222,1.22285,1.25394,0.0197606,0.00658686,0.0197606,0.00658686,0.0197606,0.00658686,0.0197606,0.00658686
3,521.916,1.01111,1.12485,1.25409,0.56219,0.41976,0.44269,0.26506,1.44014,1.8124,1.72018,0.029365,0.00978833,0.029365,0.00978833,0.029365,0.00978833,0.029365,0.00978833
4,687.678,1.0795,1.16809,1.30679,0.68568,0.52835,0.58369,0.37929,1.20864,1.41577,1.47225,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,857.626,1.04334,1.09649,1.28504,0.60518,0.43943,0.47777,0.31362,1.2077,1.60777,1.44415,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1022.58,1.01005,1.0324,1.26903,0.66944,0.59515,0.62124,0.43498,1.02981,1.70414,1.29055,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1179.59,0.98075,0.97984,1.24127,0.75747,0.62285,0.70245,0.51242,0.94237,1.02404,1.2154,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1336.44,0.94448,0.93918,1.22582,0.78718,0.65808,0.74249,0.56062,0.86923,0.9402,1.15259,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1492.41,0.92998,0.90677,1.21151,0.76575,0.64942,0.74013,0.55014,0.88675,0.94123,1.16751,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1645.1,0.91412,0.89894,1.20808,0.7444,0.61426,0.69548,0.51932,0.91111,1.02315,1.19503,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1799.14,0.90606,0.87701,1.19964,0.79481,0.65808,0.75911,0.57342,0.85177,0.94743,1.14786,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1952.66,0.88558,0.85579,1.19157,0.80428,0.67762,0.77068,0.59067,0.84285,0.83282,1.13667,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2106.68,0.88275,0.83541,1.184,0.83381,0.6821,0.79003,0.61272,0.80327,0.79237,1.11045,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2261.16,0.8602,0.81627,1.17165,0.80522,0.689,0.77948,0.59911,0.81872,0.83492,1.11345,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2413.71,0.85778,0.80968,1.16486,0.83833,0.66366,0.77285,0.59641,0.81757,0.83594,1.11754,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2567.65,0.86375,0.80459,1.16939,0.81736,0.66774,0.76347,0.59533,0.81312,0.83826,1.11912,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2721.43,0.84125,0.79286,1.15959,0.82194,0.70554,0.79663,0.62048,0.79077,0.77372,1.09772,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2874.07,0.83288,0.77157,1.15076,0.82736,0.70296,0.79693,0.61987,0.78471,0.76227,1.09373,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3028.2,0.81619,0.7594,1.13798,0.82627,0.70704,0.80166,0.62975,0.76412,0.74929,1.07474,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
